SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,,Hiện thuộc tính,Thuộc tính mặc định,RegularPrice,price
2471514,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,,"16,5","420007,5"
2474021,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,30,763650
2474237,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,,"27,5","700012,5"
2480564,Thương hiệu,Viktor&Rolf,Kích thước,3.4 oz eau de parfum spray,,,có,,18,458190
2483121,Thương hiệu,Moroccanoil,Kích thước,1 oz/ 30 mL,,,có,,"1,8",45819
2483139,Thương hiệu,Moroccanoil,Kích thước,3.4 oz/ 100 mL,,,có,,"3,2",81456
2493930,Thương hiệu,KAYALI,Kích thước,0.33 oz/ 10 mL eau de parfum spray,,,có,,"3,2",81456
2493955,Thương hiệu,KAYALI,Kích thước,3.4 oz/ 100 mL eau de parfum spray,,,có,,"13,8",351279
2531812,Thương hiệu,DIOR,Kích thước,0.7 oz/ 20 mL,,,có,,"5,6",142548
2541399,Thương hiệu,Valentino,Kích thước,3.4 oz/100 mL,,,có,,"16,5","420007,5"
2541530,Thương hiệu,Gucci,Kích thước,1.7 oz/ 50 mL,,,có,,"6,6",168003
2543627,Thương hiệu,Valentino,Kích thước,.33 oz / 10 mL,,,có,,"3,5","89092,5"
2543635,Thương hiệu,Valentino,Kích thước,0.33 oz/ 10 mL,,,có,,"3,5","89092,5"
2544484,Thương hiệu,BURBERRY,Kích thước,3.3 oz/ 100 mL eau de toilette spray,,,có,,"14,2",361461
2546125,Thương hiệu,Yves Saint Laurent,Kích thước,1.7 oz / 50 mL,,,có,,10,254550
2549236,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,,"6,6",168003
2552511,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL eau de parfum spray,,,có,,11,280005
2553188,Thương hiệu,DIOR,Kích thước,3.4 oz / 100 mL,,,có,,"17,2",437826
2553311,Thương hiệu,Viktor&Rolf,Kích thước,1.7 oz / 50 mL eau de parfum spray,,,có,,"7,25","184548,75"
2558807,Thương hiệu,World of Chris Collins,Kích thước,1.7 oz/ 50 mL,,,có,,"17,5","445462,5"
2562718,Thương hiệu,HERETIC,Kích thước,1.7 oz/ 50 mL eau de parfum,,,có,,"8,25","210003,75"
2568350,Thương hiệu,PHLUR,Kích thước,1.7 oz/ 50 mL,,,có,,"9,9","252004,5"
2569747,Thương hiệu,Sol de Janeiro,Kích thước,3.04 oz / 90 mL,,,có,,"2,5","63637,5"
2576072,Thương hiệu,KILIAN Paris,Kích thước,1.70 oz / 50 mL eau de parfum spray,,,có,,15,381825
2577443,Thương hiệu,Sol de Janeiro,Kích thước,8.01 oz / 240 mL,,,có,,"3,8",96729
2577443,Thương hiệu,Sol de Janeiro,Kích thước,8.01 oz / 240 mL,,,có,,"3,8",96729
2586253,Thương hiệu,Lancôme,Kích thước,0.33 oz / 10 mL,,,có,,"3,5","89092,5"
2590503,Thương hiệu,Maison Margiela,Kích thước,3.4 oz / 100 mL eau de toilette spray,,,có,,"16,5","420007,5"
2591170,Thương hiệu,Prada,Kích thước,3 oz / 90 mL,,,có,,"16,5","420007,5"
2591196,Thương hiệu,Prada,Kích thước,0.33 oz / 10 mL eau de parfum spray,,,có,,"3,5","89092,5"
2594158,Thương hiệu,TOM FORD,Kích thước,1 oz / 30 mL eau de parfum spray,,,có,,"19,5","496372,5"
